Name,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mario Chalmers,Orlando Magic,W,3/25/2013,32:53,4,8,0.5,4,5,0.8,5,5,1,1,3,4,5,3,1,1,1,17,15
Chris Bosh,Orlando Magic,W,3/25/2013,27:10,4,14,0.286,0,0,,4,6,0.667,3,6,9,4,1,1,1,1,12,17
Mike Miller,Orlando Magic,W,3/25/2013,20:29,3,6,0.5,0,2,0,1,2,0.5,0,5,5,1,0,0,2,2,7,-4
Udonis Haslem,Orlando Magic,W,3/25/2013,17:31,3,4,0.75,0,0,,0,0,,5,5,10,2,0,1,0,0,6,-8
LeBron James,Chicago Bulls,L,3/27/2013,39:56,11,17,0.647,2,5,0.4,8,11,0.727,0,7,7,3,2,4,4,1,32,2
Dwyane Wade,Chicago Bulls,L,3/27/2013,37:44,7,13,0.538,0,0,,4,7,0.571,2,5,7,2,4,1,3,3,18,-2
Chris Bosh,Chicago Bulls,L,3/27/2013,35:26,8,17,0.471,1,2,0.5,4,5,0.8,2,2,4,1,1,4,2,0,21,4
Mario Chalmers,Chicago Bulls,L,3/27/2013,29:20,4,10,0.4,1,5,0.2,0,0,,0,3,3,4,1,0,0,3,9,5
Udonis Haslem,Chicago Bulls,L,3/27/2013,10:29,0,1,0,0,0,,0,0,,0,1,1,1,0,0,2,5,0,-1
Dwyane Wade,New Orleans Hornets,W,3/29/2013,32:47,7,11,0.636,0,1,0,3,4,0.75,0,0,0,9,4,1,6,1,17,11
LeBron James,New Orleans Hornets,W,3/29/2013,32:13,13,20,0.65,7,10,0.7,3,5,0.6,0,4,4,6,2,0,3,0,36,19
Udonis Haslem,New Orleans Hornets,W,3/29/2013,22:23,1,4,0.25,0,0,,2,2,1,1,4,5,0,0,0,0,1,4,16
Mike Miller,New Orleans Hornets,W,3/29/2013,22:11,2,5,0.4,1,4,0.25,1,2,0.5,0,6,6,2,1,0,0,2,6,3
Chris Bosh,New Orleans Hornets,W,3/29/2013,21:39,5,8,0.625,0,1,0,0,0,,0,4,4,2,0,1,3,4,10,12
Norris Cole,San Antonio Spurs,W,3/31/2013,42:54,4,12,0.333,0,2,0,5,7,0.714,0,1,1,4,1,0,2,3,13,6
