Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norris Cole,12:42,0,0,,0,0,,0,0,,0,2,2,3,1,0,2,0,0,-4
Ray Allen,27:07,2,7,.286,1,3,.333,2,2,1.000,0,1,1,2,0,0,0,0,7,0
Shane Battier,22:20,3,4,.750,2,2,1.000,1,2,.500,1,0,1,0,1,0,0,2,9,+1
Chris Andersen,16:15,1,1,1.000,0,0,,3,3,1.000,0,5,5,1,0,1,2,5,5,0
Norris Cole,13:18,1,3,.333,1,1,1.000,0,0,,0,0,0,0,1,0,1,0,3,-4
Mike Miller,5:33,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+5
Ray Allen,24:37,7,10,.700,4,6,.667,2,2,1.000,0,2,2,1,1,0,2,1,20,+17
Shane Battier,24:08,2,4,.500,2,3,.667,0,0,,0,1,1,2,1,1,1,1,6,+26
Norris Cole,19:00,2,3,.667,0,0,,2,4,.500,0,1,1,2,1,0,0,0,6,+4
Chris Andersen,15:31,3,3,1.000,0,0,,1,1,1.000,0,1,1,0,0,1,0,1,7,+10
James Jones,4:02,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-7
Rashard Lewis,4:02,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Mike Miller,4:02,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-7
Joel Anthony,3:52,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-7
Ray Allen,30:10,2,6,.333,0,3,.000,2,2,1.000,2,3,5,1,2,0,1,0,6,-5
Shane Battier,16:30,2,5,.400,2,5,.400,0,0,,1,3,4,0,0,2,0,2,6,-15
Norris Cole,13:55,1,6,.167,0,2,.000,0,0,,0,0,0,1,2,0,1,1,2,-15
Chris Andersen,10:49,0,0,,0,0,,0,0,,2,1,3,0,0,0,2,3,0,-18
Ray Allen,28:25,3,7,.429,3,6,.500,1,1,1.000,0,3,3,1,5,0,1,3,10,+16
Shane Battier,25:47,4,8,.500,3,7,.429,0,0,,0,0,0,0,0,1,0,1,11,+13
Chris Andersen,14:54,1,2,.500,0,0,,5,8,.625,0,4,4,0,0,1,0,2,7,+16
Norris Cole,7:12,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Shane Battier,29:36,3,7,.429,2,5,.400,3,3,1.000,0,1,1,0,0,2,1,2,11,+12
Norris Cole,22:21,4,5,.800,0,0,,2,2,1.000,0,3,3,4,4,0,1,2,10,+8
Ray Allen,18:17,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+6
Chris Andersen,14:55,4,4,1.000,0,0,,1,1,1.000,0,1,1,0,0,1,0,2,9,+3
James Jones,0:45,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,1,0,0,3,+3
Joel Anthony,0:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3
Mike Miller,0:45,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+3
Shane Battier,25:35,2,6,.333,2,5,.400,0,0,,1,4,5,0,0,1,0,0,6,+31
Ray Allen,22:39,5,9,.556,4,5,.800,0,0,,1,6,7,0,0,0,2,3,14,+33
Norris Cole,21:35,5,9,.556,3,4,.750,2,2,1.000,0,3,3,6,0,0,0,5,15,+33
Chris Andersen,16:13,3,3,1.000,0,0,,0,0,,0,5,5,0,1,2,1,1,6,+18
Rashard Lewis,14:14,3,7,.429,1,3,.333,0,0,,0,4,4,0,1,0,1,1,7,+16
