Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Bosh,39:23,15,22,.682,1,3,.333,9,10,.900,3,4,7,2,1,0,2,1,40,+17
LeBron James,39:12,8,17,.471,0,1,.000,4,4,1.000,1,8,9,11,0,2,0,2,20,+7
Mario Chalmers,34:02,3,7,.429,0,2,.000,3,4,.750,0,3,3,5,3,1,2,2,9,+12
Dwyane Wade,33:48,5,12,.417,0,1,.000,4,6,.667,1,2,3,4,2,4,1,1,14,+7
Shane Battier,21:01,2,5,.400,2,5,.400,2,2,1.000,1,1,2,1,0,0,0,2,8,0
LeBron James,30:11,10,17,.588,2,3,.667,1,3,.333,3,8,11,1,0,0,3,2,23,+25
Dwyane Wade,28:21,9,14,.643,1,1,1.000,3,3,1.000,0,3,3,6,2,0,2,3,22,+23
Mario Chalmers,28:07,3,5,.600,3,3,1.000,0,0,,0,4,4,11,3,1,1,2,9,+24
Chris Bosh,25:11,7,10,.700,0,1,.000,4,4,1.000,0,4,4,2,0,2,0,2,18,+19
Shane Battier,23:35,2,6,.333,1,4,.250,0,0,,0,5,5,2,1,1,1,1,5,+24
Dwyane Wade,32:04,10,14,.714,0,1,.000,2,2,1.000,1,1,2,5,1,2,1,2,22,+24
LeBron James,29:59,7,12,.583,2,3,.667,4,4,1.000,4,8,12,8,1,0,2,1,20,+18
Mario Chalmers,26:38,3,7,.429,1,2,.500,1,2,.500,1,5,6,5,1,0,4,2,8,+5
Shane Battier,24:47,3,9,.333,3,8,.375,0,0,,0,2,2,0,0,0,0,2,9,+13
Chris Bosh,24:00,2,10,.200,0,1,.000,4,6,.667,2,2,4,1,3,1,0,2,8,+13
Chris Bosh,37:42,7,13,.538,0,2,.000,10,10,1.000,3,2,5,2,3,1,2,2,24,+7
LeBron James,35:40,10,17,.588,0,2,.000,1,3,.333,2,9,11,9,1,0,2,2,21,0
Mike Miller,30:47,1,4,.250,1,4,.250,1,1,1.000,2,4,6,2,0,0,1,2,4,+4
Mario Chalmers,26:39,5,10,.500,2,4,.500,0,0,,0,1,1,3,1,0,0,2,12,0
Shane Battier,20:20,1,4,.250,0,2,.000,0,0,,0,0,0,0,1,1,1,4,2,+5
LeBron James,35:43,10,19,.526,0,1,.000,0,4,.000,3,7,10,6,2,1,2,2,20,-18
Dwyane Wade,33:21,3,15,.200,0,1,.000,2,2,1.000,4,4,8,3,1,0,1,0,8,-21
Chris Bosh,32:59,8,12,.667,0,0,,6,8,.750,3,5,8,0,0,0,2,0,22,-20
Mario Chalmers,23:12,2,9,.222,0,2,.000,1,3,.333,0,2,2,3,1,0,0,2,5,-8
Shane Battier,16:01,1,3,.333,1,3,.333,2,4,.500,2,0,2,0,0,1,2,4,5,-11
LeBron James,39:55,14,26,.538,5,8,.625,5,8,.625,1,9,10,6,0,0,0,1,38,+8
Dwyane Wade,39:49,8,18,.444,0,1,.000,3,7,.429,1,5,6,7,1,0,2,2,19,+13
Shane Battier,34:37,2,3,.667,2,3,.667,0,0,,0,0,0,2,1,3,0,4,6,+10
Chris Bosh,33:45,10,14,.714,0,0,,4,4,1.000,4,6,10,3,0,1,3,3,24,+11
Mario Chalmers,27:00,1,5,.200,1,3,.333,1,1,1.000,0,6,6,5,1,0,2,4,4,+2
LeBron James,41:13,12,23,.522,0,3,.000,6,9,.667,0,5,5,7,1,2,4,3,30,-15
Chris Bosh,29:49,3,13,.231,0,0,,5,5,1.000,4,5,9,1,0,3,0,4,11,-8
Dwyane Wade,29:07,2,10,.200,0,1,.000,2,2,1.000,1,2,3,6,1,0,5,1,6,-15
Mario Chalmers,28:25,2,5,.400,1,4,.250,0,0,,0,2,2,3,2,0,3,5,5,-7
Shane Battier,25:31,3,6,.500,3,6,.500,0,0,,0,3,3,0,0,1,1,1,9,-9
LeBron James,41:57,11,23,.478,0,1,.000,5,6,.833,1,6,7,12,1,3,4,0,27,+9
Chris Bosh,35:41,5,10,.500,0,1,.000,4,4,1.000,1,2,3,0,0,1,2,3,14,+10
Shane Battier,32:30,6,7,.857,6,7,.857,0,0,,0,3,3,2,1,2,2,3,18,+3
Mike Miller,23:45,4,9,.444,4,8,.500,0,0,,1,4,5,1,0,0,0,1,12,+5
Mario Chalmers,7:13,0,1,.000,0,1,.000,0,0,,0,0,0,3,1,0,0,1,0,+6
LeBron James,40:43,8,20,.400,1,3,.333,4,7,.571,0,7,7,3,2,0,1,1,21,+20
Chris Bosh,37:19,9,11,.818,0,0,,6,9,.667,0,9,9,3,1,2,5,4,24,+9
Shane Battier,33:59,4,8,.500,4,8,.500,0,0,,0,2,2,1,0,1,0,2,12,+26
Mario Chalmers,31:25,5,7,.714,1,2,.500,0,0,,0,2,2,3,3,0,2,4,11,+12
Mike Miller,23:44,4,8,.500,1,3,.333,0,0,,1,4,5,5,1,0,1,1,9,+23
Chris Bosh,42:49,9,14,.643,1,2,.500,5,6,.833,3,15,18,1,1,1,5,4,24,+8
LeBron James,42:32,11,21,.524,2,4,.500,4,8,.500,2,8,10,8,1,1,1,3,28,+5
Shane Battier,38:06,0,4,.000,0,3,.000,0,0,,2,5,7,0,0,2,1,1,0,+8
Dwyane Wade,37:46,11,21,.524,0,0,,6,8,.750,1,2,3,4,2,0,2,0,28,+6
Mario Chalmers,21:58,3,7,.429,1,2,.500,2,4,.500,0,3,3,4,0,0,4,0,9,-2
LeBron James,39:58,10,16,.625,2,5,.400,8,9,.889,1,5,6,5,0,1,7,3,30,+7
Chris Bosh,36:43,6,11,.545,0,0,,11,13,.846,3,4,7,1,0,1,1,2,23,+8
Dwyane Wade,34:15,6,15,.400,0,0,,6,10,.600,1,6,7,4,1,2,4,5,18,+9
Mario Chalmers,32:31,1,3,.333,0,1,.000,2,2,1.000,1,3,4,3,3,0,1,2,4,+13
Shane Battier,21:07,3,5,.600,3,5,.600,0,0,,0,2,2,1,1,0,0,3,9,+2
LeBron James,39:06,9,16,.563,2,5,.400,3,6,.500,3,6,9,7,4,0,4,2,23,-1
Chris Bosh,36:44,8,14,.571,0,0,,2,2,1.000,3,9,12,1,0,1,0,3,18,+18
Dwyane Wade,32:21,7,17,.412,0,0,,5,5,1.000,0,5,5,5,1,0,1,1,19,+14
Mario Chalmers,27:03,3,8,.375,1,2,.500,1,1,1.000,0,1,1,4,2,1,1,3,8,+12
Rashard Lewis,20:55,1,1,1.000,1,1,1.000,0,0,,0,3,3,1,0,0,1,0,3,-6
LeBron James,36:57,8,15,.533,1,2,.500,4,6,.667,1,8,9,6,1,0,2,3,21,+14
Dwyane Wade,34:13,14,20,.700,1,3,.333,5,6,.833,1,0,1,7,1,0,0,1,34,+12
Chris Bosh,30:09,2,7,.286,0,0,,4,4,1.000,0,2,2,1,0,3,3,2,8,-5
Mario Chalmers,17:55,3,8,.375,1,4,.250,0,0,,1,5,6,1,3,0,3,2,7,-2
Rashard Lewis,14:07,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,0,0,1,2,-7
LeBron James,42:53,12,24,.500,1,4,.250,1,3,.333,2,11,13,11,3,2,3,1,26,-3
Chris Bosh,35:36,8,11,.727,1,2,.500,3,4,.750,3,9,12,4,0,0,1,2,20,-4
Dwyane Wade,34:14,9,19,.474,0,1,.000,6,7,.857,1,1,2,3,2,0,1,3,24,-6
Rashard Lewis,14:34,0,1,.000,0,1,.000,0,0,,1,1,2,2,0,0,1,1,0,-5
Mario Chalmers,10:09,0,2,.000,0,2,.000,0,0,,0,0,0,4,1,0,0,2,0,-1
LeBron James,38:35,11,20,.550,3,5,.600,6,9,.667,2,8,10,9,3,0,2,0,31,-17
Dwyane Wade,31:43,3,13,.231,1,2,.500,6,6,1.000,0,3,3,1,0,0,4,1,13,-33
Chris Bosh,29:34,3,12,.250,0,0,,6,6,1.000,1,5,6,1,1,2,1,3,12,-21
Udonis Haslem,21:42,5,6,.833,0,0,,0,0,,2,5,7,0,0,0,2,0,10,-15
Mario Chalmers,16:57,2,5,.400,0,2,.000,3,4,.750,0,2,2,1,0,0,1,4,7,-2
LeBron James,35:55,11,16,.688,0,0,,2,3,.667,1,4,5,7,2,0,4,2,24,+10
Chris Bosh,34:05,4,11,.364,0,0,,5,6,.833,1,5,6,2,0,3,2,3,13,+6
Dwyane Wade,32:23,9,12,.750,0,0,,8,9,.889,0,2,2,3,1,0,2,1,26,+7
Mario Chalmers,24:19,2,6,.333,2,3,.667,0,0,,0,4,4,3,2,0,3,3,6,+3
Udonis Haslem,13:52,1,2,.500,0,0,,0,0,,0,2,2,1,2,0,0,2,2,-11
LeBron James,40:21,10,16,.625,1,2,.500,6,7,.857,1,6,7,6,2,0,3,0,27,+12
Dwyane Wade,34:24,11,13,.846,1,1,1.000,3,6,.500,0,4,4,3,0,0,4,4,26,+4
Chris Bosh,32:25,6,11,.545,0,0,,2,6,.333,0,10,10,2,1,0,2,2,14,0
Mario Chalmers,23:52,1,3,.333,0,2,.000,2,2,1.000,0,0,0,4,2,0,2,1,4,+9
Rashard Lewis,13:54,1,3,.333,1,3,.333,0,0,,0,2,2,0,0,0,0,2,3,+1
LeBron James,42:21,12,23,.522,2,4,.500,5,5,1.000,1,2,3,5,1,0,4,0,31,-3
Chris Bosh,37:42,9,14,.643,1,2,.500,2,4,.500,3,10,13,1,1,2,2,3,21,-1
Dwyane Wade,29:11,5,11,.455,0,0,,4,5,.800,0,4,4,5,3,0,5,2,14,-7
Mario Chalmers,23:54,3,8,.375,2,4,.500,0,0,,1,1,2,1,1,0,3,4,8,-6
Udonis Haslem,15:24,1,3,.333,0,0,,0,0,,1,3,4,0,0,1,0,1,2,-4
Mario Chalmers,31:40,4,8,.500,1,4,.250,0,0,,0,5,5,3,0,0,3,1,9,+32
LeBron James,30:33,8,15,.533,0,3,.000,7,11,.636,0,10,10,5,1,0,2,0,23,+36
Dwyane Wade,26:29,5,8,.625,0,0,,3,4,.750,0,3,3,6,2,0,1,2,13,+28
Chris Bosh,26:10,5,7,.714,0,2,.000,2,2,1.000,2,3,5,3,1,0,2,2,12,+21
Udonis Haslem,23:55,6,7,.857,0,0,,1,2,.500,3,4,7,1,2,0,0,2,13,+30
LeBron James,41:59,8,18,.444,2,5,.400,4,5,.800,0,6,6,11,1,4,0,0,22,+12
Dwyane Wade,27:11,8,14,.571,0,0,,8,11,.727,2,1,3,4,2,2,1,2,24,+16
Chris Bosh,27:09,6,10,.600,1,1,1.000,2,3,.667,2,1,3,1,1,2,3,3,15,+8
Mario Chalmers,22:59,4,7,.571,4,6,.667,0,0,,0,0,0,0,3,1,1,2,12,+10
Udonis Haslem,18:07,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,3,0,+3
Chris Bosh,34:44,8,14,.571,0,1,.000,1,1,1.000,1,6,7,4,3,1,1,3,17,+31
LeBron James,30:55,9,13,.692,3,5,.600,3,4,.750,0,9,9,5,1,1,5,0,24,+25
Mario Chalmers,27:15,1,2,.500,0,1,.000,2,2,1.000,0,1,1,5,3,1,3,3,4,+22
Dwyane Wade,26:14,7,13,.538,1,3,.333,4,4,1.000,2,3,5,6,0,1,3,1,19,+40
Udonis Haslem,16:44,1,3,.333,0,0,,3,4,.750,0,7,7,1,1,0,0,0,5,+26
LeBron James,37:30,11,20,.550,1,1,1.000,7,10,.700,1,8,9,7,0,0,4,0,30,+14
Dwyane Wade,34:17,8,14,.571,0,2,.000,5,6,.833,1,6,7,7,2,0,4,2,21,+15
Shane Battier,33:58,4,8,.500,4,8,.500,3,3,1.000,0,3,3,1,1,3,0,1,15,+28
Udonis Haslem,30:26,3,6,.500,0,0,,0,0,,0,9,9,2,1,1,0,4,6,+19
Mario Chalmers,26:21,2,5,.400,1,4,.250,0,0,,1,1,2,1,1,0,2,1,5,+18
LeBron James,41:52,12,20,.600,0,3,.000,5,5,1.000,3,5,8,9,2,1,3,3,29,+13
Dwyane Wade,38:22,8,17,.471,1,3,.333,4,4,1.000,2,3,5,3,0,0,5,3,21,+10
Mario Chalmers,37:27,8,14,.571,4,8,.500,0,0,,0,3,3,2,1,1,0,3,20,+9
Chris Bosh,30:36,6,11,.545,0,2,.000,4,4,1.000,2,4,6,2,0,0,2,3,16,-1
Udonis Haslem,16:21,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,0,3,2,0
LeBron James,38:35,9,19,.474,2,4,.500,7,8,.875,2,10,12,8,4,2,3,1,27,+12
Dwyane Wade,36:38,10,19,.526,1,1,1.000,8,10,.800,2,7,9,5,1,1,3,3,29,+19
Mario Chalmers,34:02,5,10,.500,4,6,.667,3,4,.750,0,1,1,4,2,0,0,2,17,+18
Chris Bosh,29:33,6,12,.500,1,1,1.000,1,3,.333,2,1,3,1,1,0,4,5,14,+6
Udonis Haslem,26:41,0,4,.000,0,0,,0,0,,1,5,6,0,0,0,1,3,0,+22
LeBron James,44:19,15,22,.682,2,4,.500,3,4,.750,1,5,6,5,6,1,3,1,35,-2
Chris Bosh,39:32,11,17,.647,0,1,.000,6,6,1.000,4,5,9,1,0,3,4,3,28,-8
Mario Chalmers,28:43,1,6,.167,1,6,.167,1,2,.500,1,1,2,4,0,0,1,3,4,+2
Mike Miller,23:10,2,6,.333,1,5,.200,0,0,,1,3,4,1,0,0,1,2,5,-8
Udonis Haslem,20:29,3,5,.600,0,0,,1,2,.500,1,1,2,1,0,1,1,3,7,-3
LeBron James,36:29,11,20,.550,1,2,.500,3,5,.600,1,5,6,7,2,1,6,2,26,-8
Dwyane Wade,34:49,10,19,.526,0,0,,4,7,.571,1,5,6,4,0,0,3,1,24,-13
Chris Bosh,34:01,5,14,.357,0,0,,2,2,1.000,8,8,16,2,0,0,2,2,12,-23
Shane Battier,28:19,1,4,.250,1,3,.333,0,0,,1,3,4,0,0,2,0,2,3,-1
Mario Chalmers,28:08,1,5,.200,1,3,.333,2,4,.500,0,2,2,3,1,0,2,3,5,-7
LeBron James,47:53,10,22,.455,1,6,.167,15,16,.938,1,7,8,11,1,0,3,2,36,+4
Dwyane Wade,39:52,9,20,.450,0,2,.000,3,10,.300,2,4,6,3,2,1,3,1,21,-14
Chris Bosh,38:19,10,15,.667,0,0,,2,2,1.000,1,3,4,1,1,0,0,1,22,-9
Mario Chalmers,26:08,1,3,.333,1,3,.333,0,0,,0,1,1,4,0,0,0,1,3,-6
Udonis Haslem,16:58,1,3,.333,0,0,,0,0,,0,6,6,0,0,0,0,4,2,+1
