Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
San Antonio Spurs,Oklahoma City Thunder,W,03/11/2013,240:00,43,82,0.524,8,21,0.381,11,14,0.786,9,26,35,25,7,1,12,20,105,12
Oklahoma City Thunder,San Antonio Spurs,L,03/11/2013,240:00,33,77,0.429,6,17,0.353,21,24,0.875,13,30,43,16,5,7,17,18,93,-12
Utah Jazz,Detroit Pistons,W,03/11/2013,240:00,42,81,0.519,6,16,0.375,13,15,0.867,11,36,47,26,5,9,11,14,103,13
Detroit Pistons,Utah Jazz,L,03/11/2013,240:00,34,80,0.425,7,20,0.35,15,18,0.833,6,24,30,14,5,5,7,15,90,-13
Phoenix Suns,Denver Nuggets,L,03/11/2013,240:00,35,84,0.417,6,20,0.3,17,22,0.773,12,31,43,25,11,5,18,21,93,-15
Denver Nuggets,Phoenix Suns,W,03/11/2013,240:00,44,86,0.512,3,12,0.25,17,25,0.68,14,31,45,25,12,2,14,16,108,15
New York Knicks,Golden State Warriors,L,03/11/2013,240:00,20,73,0.274,5,27,0.185,18,28,0.643,11,31,42,12,7,2,13,27,63,-29
Golden State Warriors,New York Knicks,W,03/11/2013,240:00,32,78,0.41,11,20,0.55,17,24,0.708,13,46,59,16,7,4,14,25,92,29
Charlotte Bobcats,Boston Celtics,W,03/12/2013,240:00,35,77,0.455,6,17,0.353,24,30,0.8,16,32,48,20,8,3,10,18,100,26
Boston Celtics,Charlotte Bobcats,L,03/12/2013,240:00,27,66,0.409,4,13,0.308,16,25,0.64,6,23,29,15,4,4,13,21,74,-26
Orlando Magic,Los Angeles Lakers,L,03/12/2013,240:00,37,93,0.398,10,32,0.313,13,17,0.765,13,31,44,18,5,4,14,35,97,-9
Los Angeles Lakers,Orlando Magic,W,03/12/2013,240:00,34,73,0.466,9,25,0.36,29,47,0.617,7,34,41,20,8,5,10,16,106,9
Washington Wizards,Cleveland Cavaliers,L,03/12/2013,240:00,31,76,0.408,5,17,0.294,23,28,0.821,11,35,46,20,4,5,14,22,90,-5
Cleveland Cavaliers,Washington Wizards,W,03/12/2013,240:00,34,83,0.41,8,26,0.308,19,25,0.76,14,34,48,24,8,2,11,25,95,5
New Orleans Hornets,Brooklyn Nets,L,03/12/2013,240:00,40,78,0.513,5,16,0.313,13,15,0.867,11,20,31,23,6,9,13,25,98,-10
Brooklyn Nets,New Orleans Hornets,W,03/12/2013,240:00,40,80,0.5,5,16,0.313,23,31,0.742,19,23,42,17,8,4,9,14,108,10
Miami Heat,Atlanta Hawks,W,03/12/2013,240:00,35,82,0.427,6,20,0.3,22,30,0.733,14,31,45,27,14,4,14,14,98,17
Atlanta Hawks,Miami Heat,L,03/12/2013,240:00,33,78,0.423,5,22,0.227,10,14,0.714,10,33,43,19,11,1,22,25,81,-17
Milwaukee Bucks,Dallas Mavericks,L,03/12/2013,240:00,43,89,0.483,8,21,0.381,14,17,0.824,7,35,42,30,8,6,9,22,108,-7
Dallas Mavericks,Milwaukee Bucks,W,03/12/2013,240:00,41,82,0.5,11,29,0.379,22,27,0.815,3,38,41,23,5,5,9,19,115,7
San Antonio Spurs,Minnesota Timberwolves,L,03/12/2013,240:00,29,82,0.354,9,29,0.31,16,18,0.889,8,31,39,19,9,4,16,21,83,-24
Minnesota Timberwolves,San Antonio Spurs,W,03/12/2013,240:00,44,82,0.537,12,20,0.6,7,18,0.389,11,38,49,30,6,11,16,21,107,24
Portland Trail Blazers,Memphis Grizzlies,L,03/12/2013,240:00,32,79,0.405,5,16,0.313,28,29,0.966,14,32,46,17,6,6,16,23,97,-5
Memphis Grizzlies,Portland Trail Blazers,W,03/12/2013,240:00,39,76,0.513,3,11,0.273,21,31,0.677,9,28,37,31,10,7,11,24,102,5
Philadelphia 76ers,Miami Heat,L,03/13/2013,240:00,40,85,0.471,7,18,0.389,7,12,0.583,13,27,40,29,10,3,12,22,94,-4
Miami Heat,Philadelphia 76ers,W,03/13/2013,240:00,35,75,0.467,5,20,0.25,23,27,0.852,10,29,39,25,7,6,13,10,98,4
Washington Wizards,Milwaukee Bucks,W,03/13/2013,240:00,43,86,0.5,8,16,0.5,12,24,0.5,13,35,48,25,8,0,13,17,106,13
Milwaukee Bucks,Washington Wizards,L,03/13/2013,240:00,39,85,0.459,6,18,0.333,9,12,0.75,11,33,44,23,8,4,14,22,93,-13
Minnesota Timberwolves,Indiana Pacers,L,03/13/2013,240:00,35,80,0.438,6,19,0.316,15,18,0.833,10,26,36,19,4,4,12,26,91,-16
Indiana Pacers,Minnesota Timberwolves,W,03/13/2013,240:00,41,82,0.5,9,25,0.36,16,26,0.615,15,34,49,22,8,6,12,26,107,16
Toronto Raptors,Boston Celtics,L,03/13/2013,240:00,34,79,0.43,3,13,0.231,17,19,0.895,7,27,34,17,11,6,17,23,88,-24
Boston Celtics,Toronto Raptors,W,03/13/2013,240:00,39,76,0.513,6,15,0.4,28,35,0.8,6,34,40,29,11,7,14,19,112,24
Los Angeles Lakers,Atlanta Hawks,L,03/13/2013,240:00,36,92,0.391,8,29,0.276,12,16,0.75,12,33,45,17,6,1,8,21,92,-4
Atlanta Hawks,Los Angeles Lakers,W,03/13/2013,240:00,37,79,0.468,8,22,0.364,14,21,0.667,9,43,52,22,1,2,12,17,96,4
Phoenix Suns,Houston Rockets,L,03/13/2013,240:00,34,81,0.42,6,21,0.286,7,10,0.7,5,24,29,20,13,7,20,20,81,-30
Houston Rockets,Phoenix Suns,W,03/13/2013,240:00,39,76,0.513,10,21,0.476,23,30,0.767,11,35,46,26,10,5,22,12,111,30
Utah Jazz,Oklahoma City Thunder,L,03/13/2013,240:00,28,80,0.35,5,15,0.333,26,33,0.788,13,22,35,21,13,6,18,25,87,-23
Oklahoma City Thunder,Utah Jazz,W,03/13/2013,240:00,37,69,0.536,7,16,0.438,29,33,0.879,11,37,48,20,9,7,24,27,110,23
Sacramento Kings,Chicago Bulls,W,03/13/2013,240:00,45,83,0.542,9,23,0.391,22,26,0.846,7,33,40,17,9,3,5,16,121,42
Chicago Bulls,Sacramento Kings,L,03/13/2013,240:00,32,83,0.386,2,21,0.095,13,15,0.867,12,27,39,19,2,3,17,19,79,-42
New York Knicks,Denver Nuggets,L,03/13/2013,240:00,34,79,0.43,11,28,0.393,15,22,0.682,7,26,33,22,7,9,19,25,94,-23
Denver Nuggets,New York Knicks,W,03/13/2013,240:00,41,84,0.488,9,21,0.429,26,37,0.703,18,35,53,22,11,8,14,18,117,23
Memphis Grizzlies,Los Angeles Clippers,W,03/13/2013,240:00,37,68,0.544,6,12,0.5,16,21,0.762,10,21,31,20,8,3,12,25,96,11
Los Angeles Clippers,Memphis Grizzlies,L,03/13/2013,240:00,31,72,0.431,6,26,0.231,17,18,0.944,13,21,34,22,5,4,12,22,85,-11
Golden State Warriors,Detroit Pistons,W,03/13/2013,240:00,41,72,0.569,8,18,0.444,15,25,0.6,11,31,42,27,5,9,13,15,105,8
Detroit Pistons,Golden State Warriors,L,03/13/2013,240:00,40,89,0.449,5,17,0.294,12,14,0.857,14,24,38,26,6,0,9,22,97,-8
San Antonio Spurs,Dallas Mavericks,W,03/14/2013,240:00,37,84,0.44,5,13,0.385,13,17,0.765,11,38,49,31,7,4,15,10,92,1
Dallas Mavericks,San Antonio Spurs,L,03/14/2013,240:00,37,83,0.446,8,19,0.421,9,10,0.9,6,29,35,21,10,10,11,23,91,-1
Portland Trail Blazers,New York Knicks,W,03/14/2013,240:00,40,78,0.513,10,28,0.357,15,21,0.714,9,35,44,24,8,6,14,16,105,15
New York Knicks,Portland Trail Blazers,L,03/14/2013,240:00,36,82,0.439,7,25,0.28,11,17,0.647,11,29,40,20,10,2,12,21,90,-15
Toronto Raptors,Charlotte Bobcats,W,03/15/2013,240:00,33,68,0.485,3,10,0.3,23,27,0.852,10,36,46,16,6,8,19,23,92,14
Charlotte Bobcats,Toronto Raptors,L,03/15/2013,240:00,26,80,0.325,6,22,0.273,20,29,0.69,15,21,36,14,14,3,13,18,78,-14
Washington Wizards,New Orleans Hornets,W,03/15/2013,240:00,36,72,0.5,9,20,0.45,15,19,0.789,9,30,39,23,5,7,12,18,96,9
New Orleans Hornets,Washington Wizards,L,03/15/2013,240:00,35,80,0.438,3,19,0.158,14,19,0.737,11,29,40,15,6,0,11,21,87,-9
Los Angeles Lakers,Indiana Pacers,W,03/15/2013,240:00,33,78,0.423,13,26,0.5,20,30,0.667,7,41,48,27,9,8,15,17,99,6
Indiana Pacers,Los Angeles Lakers,L,03/15/2013,240:00,37,99,0.374,12,27,0.444,7,9,0.778,17,37,54,17,6,6,16,26,93,-6
Phoenix Suns,Atlanta Hawks,L,03/15/2013,240:00,35,79,0.443,3,19,0.158,21,31,0.677,11,35,46,20,10,2,24,24,94,-13
Atlanta Hawks,Phoenix Suns,W,03/15/2013,240:00,41,84,0.488,12,23,0.522,13,16,0.813,8,33,41,27,14,4,20,19,107,13
Minnesota Timberwolves,Houston Rockets,L,03/15/2013,240:00,39,81,0.481,6,24,0.25,16,20,0.8,9,27,36,25,6,7,13,25,100,-8
Houston Rockets,Minnesota Timberwolves,W,03/15/2013,240:00,36,74,0.486,11,31,0.355,25,31,0.806,12,32,44,25,7,2,18,20,108,8
Orlando Magic,Oklahoma City Thunder,L,03/15/2013,240:00,40,92,0.435,7,27,0.259,17,21,0.81,7,26,33,12,12,0,10,23,104,-13
Oklahoma City Thunder,Orlando Magic,W,03/15/2013,240:00,42,76,0.553,4,13,0.308,29,43,0.674,8,44,52,21,6,4,17,16,117,13
Milwaukee Bucks,Miami Heat,L,03/15/2013,240:00,33,89,0.371,9,25,0.36,19,21,0.905,19,29,48,18,6,4,10,16,94,-13
Miami Heat,Milwaukee Bucks,W,03/15/2013,240:00,41,79,0.519,7,15,0.467,18,22,0.818,8,33,41,24,7,5,11,13,107,13
Dallas Mavericks,Cleveland Cavaliers,W,03/15/2013,240:00,41,82,0.5,7,21,0.333,7,11,0.636,8,38,46,25,7,6,16,19,96,10
Cleveland Cavaliers,Dallas Mavericks,L,03/15/2013,240:00,34,78,0.436,7,16,0.438,11,18,0.611,7,32,39,18,11,2,18,12,86,-10
Memphis Grizzlies,Denver Nuggets,L,03/15/2013,240:00,30,85,0.353,4,12,0.333,16,19,0.842,20,27,47,16,8,5,14,22,80,-7
Denver Nuggets,Memphis Grizzlies,W,03/15/2013,240:00,35,77,0.455,1,12,0.083,16,22,0.727,13,29,42,18,8,10,16,17,87,7
Golden State Warriors,Chicago Bulls,L,03/15/2013,240:00,34,76,0.447,3,14,0.214,24,30,0.8,7,27,34,16,8,7,12,17,95,-18
Chicago Bulls,Golden State Warriors,W,03/15/2013,240:00,43,83,0.518,8,16,0.5,19,22,0.864,11,32,43,28,8,0,14,22,113,18
Washington Wizards,Phoenix Suns,W,03/16/2013,240:00,48,93,0.516,14,21,0.667,17,20,0.85,15,27,42,30,6,3,10,18,127,22
Phoenix Suns,Washington Wizards,L,03/16/2013,240:00,42,88,0.477,6,21,0.286,15,20,0.75,17,31,48,19,5,4,14,15,105,-22
Charlotte Bobcats,Boston Celtics,L,03/16/2013,240:00,34,76,0.447,7,20,0.35,13,21,0.619,6,29,35,23,7,7,12,17,88,-17
Boston Celtics,Charlotte Bobcats,W,03/16/2013,240:00,41,79,0.519,10,15,0.667,13,20,0.65,10,32,42,28,6,8,13,21,105,17
Philadelphia 76ers,Indiana Pacers,W,03/16/2013,240:00,39,79,0.494,6,13,0.462,14,19,0.737,9,32,41,28,6,14,12,21,98,7
Indiana Pacers,Philadelphia 76ers,L,03/16/2013,240:00,34,88,0.386,6,16,0.375,17,21,0.81,18,29,47,25,5,3,13,20,91,-7
San Antonio Spurs,Cleveland Cavaliers,W,03/16/2013,240:00,45,78,0.577,6,17,0.353,23,29,0.793,11,32,43,32,7,7,18,21,119,6
Cleveland Cavaliers,San Antonio Spurs,L,03/16/2013,240:00,43,85,0.506,7,15,0.467,20,31,0.645,9,20,29,22,13,4,10,27,113,-6
Utah Jazz,Memphis Grizzlies,W,03/16/2013,240:00,31,71,0.437,5,16,0.313,23,31,0.742,7,31,38,18,7,4,5,21,90,6
Memphis Grizzlies,Utah Jazz,L,03/16/2013,240:00,33,77,0.429,4,12,0.333,14,22,0.636,11,31,42,14,4,6,11,22,84,-6
Portland Trail Blazers,Detroit Pistons,W,03/16/2013,240:00,41,86,0.477,7,19,0.368,23,24,0.958,12,33,45,25,6,4,9,20,112,11
Detroit Pistons,Portland Trail Blazers,L,03/16/2013,240:00,40,76,0.526,5,17,0.294,16,24,0.667,7,26,33,19,7,3,13,22,101,-11
Toronto Raptors,Miami Heat,L,03/17/2013,240:00,39,94,0.415,2,20,0.1,11,12,0.917,24,27,51,15,5,2,16,21,91,-17
Miami Heat,Toronto Raptors,W,03/17/2013,240:00,39,67,0.582,10,22,0.455,20,29,0.69,2,24,26,31,8,2,12,14,108,17
Orlando Magic,Milwaukee Bucks,L,03/17/2013,240:00,47,93,0.505,5,21,0.238,10,15,0.667,11,33,44,21,10,4,12,21,109,-6
Milwaukee Bucks,Orlando Magic,W,03/17/2013,240:00,40,90,0.444,12,27,0.444,23,26,0.885,13,33,46,25,6,3,14,13,115,6
New York Knicks,Los Angeles Clippers,L,03/17/2013,240:00,29,81,0.358,12,26,0.462,10,14,0.714,7,32,39,21,7,1,9,27,80,-13
Los Angeles Clippers,New York Knicks,W,03/17/2013,240:00,34,75,0.453,8,28,0.286,17,31,0.548,12,39,51,20,5,8,12,18,93,13
Houston Rockets,Golden State Warriors,L,03/17/2013,240:00,28,86,0.326,9,35,0.257,13,16,0.813,12,36,48,16,6,5,15,15,78,-30
Golden State Warriors,Houston Rockets,W,03/17/2013,240:00,44,96,0.458,13,26,0.5,7,9,0.778,8,42,50,27,7,6,10,17,108,30
New Orleans Hornets,Minnesota Timberwolves,L,03/17/2013,240:00,39,85,0.459,5,13,0.385,12,16,0.75,20,21,41,20,10,3,18,26,95,-2
Minnesota Timberwolves,New Orleans Hornets,W,03/17/2013,240:00,36,64,0.563,5,15,0.333,20,27,0.741,7,20,27,18,8,10,18,19,97,2
Oklahoma City Thunder,Dallas Mavericks,W,03/17/2013,240:00,39,80,0.488,5,21,0.238,24,30,0.8,12,34,46,17,9,8,16,17,107,6
Dallas Mavericks,Oklahoma City Thunder,L,03/17/2013,240:00,38,83,0.458,9,21,0.429,16,16,1.0,8,26,34,18,13,2,14,20,101,-6
Brooklyn Nets,Atlanta Hawks,L,03/17/2013,240:00,36,86,0.419,8,23,0.348,13,16,0.813,17,33,50,17,7,1,16,14,93,-12
Atlanta Hawks,Brooklyn Nets,W,03/17/2013,240:00,44,84,0.524,8,21,0.381,9,13,0.692,9,29,38,30,14,5,11,20,105,12
Sacramento Kings,Los Angeles Lakers,L,03/17/2013,240:00,42,96,0.438,10,31,0.323,8,8,1.0,7,26,33,21,7,3,5,22,102,-11
Los Angeles Lakers,Sacramento Kings,W,03/17/2013,240:00,41,72,0.569,12,28,0.429,19,29,0.655,6,37,43,28,2,7,13,12,113,11
Portland Trail Blazers,Philadelphia 76ers,L,03/18/2013,240:00,38,90,0.422,12,28,0.429,12,14,0.857,12,34,46,26,5,6,13,14,100,-1
Philadelphia 76ers,Portland Trail Blazers,W,03/18/2013,240:00,43,86,0.5,5,16,0.313,10,13,0.769,8,35,43,31,7,8,13,15,101,1
Washington Wizards,Charlotte Bobcats,L,03/18/2013,240:00,43,81,0.531,6,15,0.4,22,29,0.759,14,27,41,27,6,5,17,26,114,-5
Charlotte Bobcats,Washington Wizards,W,03/18/2013,240:00,42,79,0.532,9,22,0.409,26,33,0.788,8,23,31,32,9,5,11,20,119,5
Indiana Pacers,Cleveland Cavaliers,W,03/18/2013,240:00,39,88,0.443,8,22,0.364,25,29,0.862,15,42,57,29,8,9,14,16,111,21
Cleveland Cavaliers,Indiana Pacers,L,03/18/2013,240:00,35,92,0.38,6,24,0.25,14,21,0.667,16,29,45,21,6,7,11,21,90,-21
Dallas Mavericks,Atlanta Hawks,W,03/18/2013,240:00,51,89,0.573,13,22,0.591,12,14,0.857,10,29,39,33,7,3,12,20,127,14
Atlanta Hawks,Dallas Mavericks,L,03/18/2013,240:00,42,75,0.56,8,21,0.381,21,29,0.724,5,26,31,26,7,2,15,15,113,-14
Detroit Pistons,Brooklyn Nets,L,03/18/2013,240:00,34,78,0.436,1,18,0.056,13,15,0.867,10,23,33,20,6,4,15,21,82,-37
Brooklyn Nets,Detroit Pistons,W,03/18/2013,240:00,45,83,0.542,9,21,0.429,20,23,0.87,13,28,41,21,9,8,9,17,119,37
Miami Heat,Boston Celtics,W,03/18/2013,240:00,42,85,0.494,7,20,0.35,14,21,0.667,10,29,39,25,11,7,14,18,105,2
Boston Celtics,Miami Heat,L,03/18/2013,240:00,39,72,0.542,10,21,0.476,15,24,0.625,4,29,33,24,9,7,20,26,103,-2
Denver Nuggets,Chicago Bulls,W,03/18/2013,265:00,46,100,0.46,7,20,0.35,20,27,0.741,20,33,53,26,10,5,13,19,119,1
Chicago Bulls,Denver Nuggets,L,03/18/2013,265:00,47,96,0.49,8,21,0.381,16,19,0.842,12,30,42,29,7,11,14,21,118,-1
Minnesota Timberwolves,Memphis Grizzlies,L,03/18/2013,240:00,29,86,0.337,6,24,0.25,13,18,0.722,14,31,45,14,7,4,11,12,77,-15
Memphis Grizzlies,Minnesota Timberwolves,W,03/18/2013,240:00,40,82,0.488,5,16,0.313,7,11,0.636,11,38,49,19,6,10,13,21,92,15
New Orleans Hornets,Golden State Warriors,L,03/18/2013,240:00,28,83,0.337,3,17,0.176,13,13,1.0,13,28,41,17,10,5,13,13,72,-21
Golden State Warriors,New Orleans Hornets,W,03/18/2013,240:00,35,70,0.5,10,19,0.526,13,15,0.867,6,38,44,21,6,7,16,20,93,21
Phoenix Suns,Los Angeles Lakers,W,03/18/2013,240:00,42,87,0.483,8,20,0.4,7,15,0.467,14,41,55,21,10,7,16,16,99,23
Los Angeles Lakers,Phoenix Suns,L,03/18/2013,240:00,29,87,0.333,5,22,0.227,13,16,0.813,14,31,45,15,10,1,18,13,76,-23
Utah Jazz,New York Knicks,L,03/18/2013,240:00,29,76,0.382,9,19,0.474,16,24,0.667,19,27,46,17,10,5,17,23,83,-7
New York Knicks,Utah Jazz,W,03/18/2013,240:00,32,69,0.464,8,23,0.348,18,25,0.72,8,26,34,18,9,5,12,21,90,7
Orlando Magic,Indiana Pacers,L,03/19/2013,240:00,28,88,0.318,3,15,0.2,14,21,0.667,10,32,42,12,7,7,10,22,73,-22
Indiana Pacers,Orlando Magic,W,03/19/2013,240:00,34,87,0.391,6,23,0.261,21,24,0.875,15,48,63,18,4,6,15,21,95,22
Portland Trail Blazers,Milwaukee Bucks,L,03/19/2013,240:00,36,83,0.434,13,26,0.5,10,13,0.769,13,27,40,24,6,1,17,14,95,-7
Milwaukee Bucks,Portland Trail Blazers,W,03/19/2013,240:00,42,87,0.483,9,19,0.474,9,13,0.692,15,28,43,29,8,8,11,12,102,7
Oklahoma City Thunder,Denver Nuggets,L,03/19/2013,240:00,37,85,0.435,4,25,0.16,26,31,0.839,12,33,45,21,8,8,14,24,104,-10
Denver Nuggets,Oklahoma City Thunder,W,03/19/2013,240:00,43,96,0.448,4,21,0.19,24,29,0.828,17,35,52,23,10,4,12,23,114,10
Sacramento Kings,Los Angeles Clippers,W,03/19/2013,240:00,37,73,0.507,14,28,0.5,28,34,0.824,8,29,37,25,8,1,15,25,116,15
Los Angeles Clippers,Sacramento Kings,L,03/19/2013,240:00,36,80,0.45,9,26,0.346,20,26,0.769,11,26,37,30,10,4,17,24,101,-15
Toronto Raptors,Charlotte Bobcats,L,03/20/2013,240:00,35,83,0.422,5,22,0.227,26,26,1.0,15,30,45,18,7,9,16,27,101,-6
Charlotte Bobcats,Toronto Raptors,W,03/20/2013,240:00,35,75,0.467,8,16,0.5,29,40,0.725,13,29,42,21,10,7,12,26,107,6
Miami Heat,Cleveland Cavaliers,W,03/20/2013,240:00,32,72,0.444,12,29,0.414,22,30,0.733,11,23,34,21,9,6,13,20,98,3
Cleveland Cavaliers,Miami Heat,L,03/20/2013,240:00,37,81,0.457,7,21,0.333,14,17,0.824,15,27,42,20,8,2,16,25,95,-3
Orlando Magic,New York Knicks,L,03/20/2013,240:00,38,79,0.481,5,17,0.294,13,18,0.722,14,28,42,18,7,0,16,13,94,-12
New York Knicks,Orlando Magic,W,03/20/2013,240:00,40,76,0.526,15,34,0.441,11,16,0.688,10,24,34,20,8,2,11,18,106,12
Milwaukee Bucks,Atlanta Hawks,L,03/20/2013,240:00,37,99,0.374,8,19,0.421,8,11,0.727,16,30,46,20,7,8,10,17,90,-8
Atlanta Hawks,Milwaukee Bucks,W,03/20/2013,240:00,38,79,0.481,8,18,0.444,14,17,0.824,9,38,47,26,7,6,16,15,98,8
Oklahoma City Thunder,Memphis Grizzlies,L,03/20/2013,265:00,30,84,0.357,2,18,0.111,27,32,0.844,14,32,46,9,7,7,15,28,89,-1
Memphis Grizzlies,Oklahoma City Thunder,W,03/20/2013,265:00,32,89,0.36,6,15,0.4,20,24,0.833,19,35,54,11,5,5,19,27,90,1
New Orleans Hornets,Boston Celtics,W,03/20/2013,240:00,31,71,0.437,5,16,0.313,20,26,0.769,11,34,45,20,7,7,18,17,87,1
Boston Celtics,New Orleans Hornets,L,03/20/2013,240:00,33,72,0.458,4,14,0.286,16,17,0.941,4,24,28,20,13,6,13,18,86,-1
Utah Jazz,Houston Rockets,L,03/20/2013,240:00,36,79,0.456,5,17,0.294,16,20,0.8,5,31,36,19,9,5,14,22,93,-7
Houston Rockets,Utah Jazz,W,03/20/2013,240:00,34,76,0.447,6,23,0.261,26,32,0.813,9,35,44,15,10,4,15,23,100,7
Dallas Mavericks,Brooklyn Nets,L,03/20/2013,240:00,40,80,0.5,7,19,0.368,9,15,0.6,7,27,34,19,5,3,11,20,96,-17
Brooklyn Nets,Dallas Mavericks,W,03/20/2013,240:00,45,89,0.506,7,21,0.333,16,21,0.762,13,32,45,21,6,2,9,15,113,17
San Antonio Spurs,Golden State Warriors,W,03/20/2013,240:00,41,85,0.482,8,26,0.308,14,15,0.933,8,30,38,27,9,7,12,13,104,11
Golden State Warriors,San Antonio Spurs,L,03/20/2013,240:00,37,84,0.44,6,12,0.5,13,15,0.867,12,27,39,16,9,4,16,17,93,-11
Washington Wizards,Phoenix Suns,W,03/20/2013,240:00,33,68,0.485,6,15,0.4,16,25,0.64,6,35,41,22,7,4,21,22,88,9
Phoenix Suns,Washington Wizards,L,03/20/2013,240:00,28,83,0.337,3,15,0.2,20,22,0.909,13,27,40,17,11,2,13,17,79,-9
Philadelphia 76ers,Los Angeles Clippers,L,03/20/2013,240:00,29,79,0.367,6,20,0.3,8,10,0.8,10,27,37,22,6,4,19,19,72,-29
Los Angeles Clippers,Philadelphia 76ers,W,03/20/2013,240:00,41,78,0.526,6,20,0.3,13,19,0.684,8,36,44,24,13,3,14,16,101,29
Portland Trail Blazers,Chicago Bulls,W,03/21/2013,240:00,41,84,0.488,10,21,0.476,7,10,0.7,8,37,45,19,4,5,14,16,99,10
Chicago Bulls,Portland Trail Blazers,L,03/21/2013,240:00,39,89,0.438,4,14,0.286,7,11,0.636,9,32,41,30,8,4,8,16,89,-10
Philadelphia 76ers,Denver Nuggets,L,03/21/2013,240:00,43,78,0.551,7,18,0.389,7,11,0.636,7,27,34,27,13,5,22,22,100,-1
Denver Nuggets,Philadelphia 76ers,W,03/21/2013,240:00,37,76,0.487,7,11,0.636,20,27,0.741,11,23,34,18,13,8,19,19,101,1
Sacramento Kings,Minnesota Timberwolves,W,03/21/2013,240:00,40,75,0.533,6,18,0.333,15,18,0.833,4,36,40,21,4,6,16,23,101,3
Minnesota Timberwolves,Sacramento Kings,L,03/21/2013,240:00,41,98,0.418,1,19,0.053,15,18,0.833,17,28,45,27,7,2,12,23,98,-3
Toronto Raptors,New York Knicks,L,03/22/2013,240:00,36,79,0.456,11,32,0.344,11,14,0.786,9,24,33,19,7,1,12,23,94,-5
New York Knicks,Toronto Raptors,W,03/22/2013,240:00,38,71,0.535,10,22,0.455,13,24,0.542,9,31,40,16,8,5,13,24,99,5
Orlando Magic,Oklahoma City Thunder,L,03/22/2013,240:00,38,92,0.413,5,16,0.313,8,10,0.8,11,33,44,20,10,5,14,26,89,-8
Oklahoma City Thunder,Orlando Magic,W,03/22/2013,240:00,34,80,0.425,5,21,0.238,24,33,0.727,10,39,49,17,8,11,13,14,97,8
Milwaukee Bucks,Indiana Pacers,L,03/22/2013,240:00,31,101,0.307,3,19,0.158,13,22,0.591,22,30,52,17,4,6,8,21,78,-24
Indiana Pacers,Milwaukee Bucks,W,03/22/2013,240:00,38,79,0.481,3,12,0.25,23,30,0.767,11,45,56,23,6,11,14,20,102,24
Portland Trail Blazers,Atlanta Hawks,W,03/22/2013,240:00,41,87,0.471,10,18,0.556,12,16,0.75,10,38,48,22,8,2,9,16,104,11
Atlanta Hawks,Portland Trail Blazers,L,03/22/2013,240:00,37,83,0.446,7,24,0.292,12,16,0.75,6,35,41,27,8,6,11,14,93,-11
Miami Heat,Detroit Pistons,W,03/22/2013,240:00,38,68,0.559,8,15,0.533,19,26,0.731,4,29,33,21,15,6,18,14,103,14
Detroit Pistons,Miami Heat,L,03/22/2013,240:00,34,83,0.41,7,22,0.318,14,18,0.778,18,29,47,21,9,5,22,24,89,-14
New Orleans Hornets,Memphis Grizzlies,W,03/22/2013,240:00,36,76,0.474,4,14,0.286,14,18,0.778,16,33,49,19,4,9,15,22,90,7
Memphis Grizzlies,New Orleans Hornets,L,03/22/2013,240:00,30,73,0.411,3,10,0.3,20,25,0.8,11,22,33,14,11,3,11,20,83,-7
Houston Rockets,Cleveland Cavaliers,W,03/22/2013,240:00,44,77,0.571,10,29,0.345,18,27,0.667,13,41,54,26,8,6,22,18,116,38
Cleveland Cavaliers,Houston Rockets,L,03/22/2013,240:00,31,86,0.36,4,20,0.2,12,15,0.8,10,22,32,14,9,3,14,24,78,-38
Dallas Mavericks,Boston Celtics,W,03/22/2013,240:00,38,82,0.463,6,19,0.316,22,28,0.786,13,35,48,26,7,3,14,22,104,10
Boston Celtics,Dallas Mavericks,L,03/22/2013,240:00,32,77,0.416,5,17,0.294,25,27,0.926,10,28,38,19,8,5,14,26,94,-10
Utah Jazz,San Antonio Spurs,L,03/22/2013,265:00,41,96,0.427,8,17,0.471,7,12,0.583,11,37,48,23,11,9,16,27,97,-7
San Antonio Spurs,Utah Jazz,W,03/22/2013,265:00,39,84,0.464,8,20,0.4,18,24,0.75,8,38,46,23,8,10,17,17,104,7
Phoenix Suns,Minnesota Timberwolves,L,03/22/2013,240:00,36,95,0.379,4,22,0.182,10,21,0.476,17,31,48,24,9,2,16,29,86,-31
Minnesota Timberwolves,Phoenix Suns,W,03/22/2013,240:00,42,79,0.532,2,12,0.167,31,40,0.775,10,40,50,28,10,4,14,18,117,31
Washington Wizards,Los Angeles Lakers,W,03/22/2013,240:00,40,87,0.46,11,26,0.423,12,16,0.75,6,33,39,28,8,5,9,18,103,3
Los Angeles Lakers,Washington Wizards,L,03/22/2013,240:00,39,81,0.481,11,23,0.478,11,17,0.647,9,39,48,27,5,3,17,15,100,-3
Detroit Pistons,Charlotte Bobcats,W,03/23/2013,240:00,36,79,0.456,10,26,0.385,10,14,0.714,8,32,40,31,8,3,15,18,92,1
Charlotte Bobcats,Detroit Pistons,L,03/23/2013,240:00,32,75,0.427,4,17,0.235,23,25,0.92,7,34,41,14,10,9,14,13,91,-1
Toronto Raptors,New York Knicks,L,03/23/2013,240:00,34,76,0.447,4,23,0.174,12,18,0.667,11,24,35,13,6,2,18,20,84,-26
