Team,Opponent,Win/Loss,Date,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Oklahoma City Thunder,Boston Celtics,L,11/23/2012,240:00,37,79,0.468,6,24,0.25,20,24,0.833,8,32,40,22,6,7,16,23,100,-8
Boston Celtics,Oklahoma City Thunder,W,11/23/2012,240:00,39,80,0.488,9,17,0.529,21,24,0.875,8,28,36,28,10,1,15,23,108,8
Los Angeles Clippers,Brooklyn Nets,L,11/23/2012,240:00,29,72,0.403,4,17,0.235,14,22,0.636,17,28,45,15,8,7,18,22,76,-10
Brooklyn Nets,Los Angeles Clippers,W,11/23/2012,240:00,34,73,0.466,5,13,0.385,13,19,0.684,11,24,35,19,6,3,15,22,86,10
Toronto Raptors,Detroit Pistons,L,11/23/2012,240:00,32,78,0.41,6,18,0.333,20,25,0.8,9,28,37,20,6,6,11,23,90,-1
Detroit Pistons,Toronto Raptors,W,11/23/2012,240:00,36,78,0.462,4,13,0.308,15,26,0.577,15,31,46,17,4,2,14,22,91,1
San Antonio Spurs,Indiana Pacers,W,11/23/2012,240:00,41,83,0.494,2,17,0.118,20,22,0.909,6,31,37,19,8,2,10,21,104,7
Indiana Pacers,San Antonio Spurs,L,11/23/2012,240:00,38,92,0.413,7,16,0.438,14,21,0.667,19,30,49,27,1,5,13,23,97,-7
Memphis Grizzlies,Los Angeles Lakers,W,11/23/2012,240:00,38,75,0.507,6,11,0.545,24,30,0.8,13,26,39,23,10,3,15,26,106,8
Los Angeles Lakers,Memphis Grizzlies,L,11/23/2012,240:00,33,74,0.446,12,27,0.444,20,24,0.833,11,17,28,19,6,5,18,28,98,-8
New York Knicks,Houston Rockets,L,11/23/2012,240:00,37,86,0.43,17,39,0.436,12,14,0.857,6,24,30,22,8,9,15,21,103,-28
Houston Rockets,New York Knicks,W,11/23/2012,240:00,46,89,0.517,14,25,0.56,25,28,0.893,11,38,49,22,8,6,14,17,131,28
Golden State Warriors,Denver Nuggets,L,11/23/2012,240:00,35,80,0.438,7,17,0.412,14,18,0.778,8,37,45,22,8,5,14,30,91,-11
Denver Nuggets,Golden State Warriors,W,11/23/2012,240:00,40,84,0.476,5,19,0.263,17,30,0.567,11,28,39,21,9,7,11,18,102,11
Utah Jazz,Sacramento Kings,W,11/23/2012,240:00,36,83,0.434,3,15,0.2,29,33,0.879,17,26,43,27,7,6,11,22,104,2
Sacramento Kings,Utah Jazz,L,11/23/2012,240:00,40,80,0.5,10,17,0.588,12,16,0.75,6,25,31,21,5,3,13,23,102,-2
Phoenix Suns,New Orleans Hornets,W,11/23/2012,265:00,44,90,0.489,11,25,0.44,12,19,0.632,10,25,35,28,10,5,10,19,111,3
New Orleans Hornets,Phoenix Suns,L,11/23/2012,265:00,40,78,0.513,13,26,0.5,15,18,0.833,6,35,41,27,8,6,18,24,108,-3
Portland Trail Blazers,Minnesota Timberwolves,W,11/23/2012,240:00,42,78,0.538,11,25,0.44,8,18,0.444,6,27,33,24,7,6,12,26,103,8
Minnesota Timberwolves,Portland Trail Blazers,L,11/23/2012,240:00,32,78,0.41,3,18,0.167,28,37,0.757,17,30,47,15,10,2,14,21,95,-8
