player	team	fgm	fga	fgp	fg3m	fg3a	fg3p	ftm	fta	ftp	oreb	dreb	reb	ast	stl	blk	tovr	pf	pts	plus_minus
"Allen Crabbe"	"Portland Trail Blazers"	7	15	0.4666666666666667	5	8	0.625	3	4	0.75	0	1	1	3	1	0	3	2	22	4
"Alonzo Gee"	"Cleveland Cavaliers"	42	110	0.3818181818181818	10	34	0.2941176470588235	18	22	0.8181818181818182	17	66	83	20	24	4	27	52	112	-134
"Amar'e Stoudemire"	"New York Knicks"	128	237	0.540084388185654	0	0	0.0	61	94	0.648936170212766	52	91	143	14	17	14	50	82	317	-131
"Amir Johnson"	"Toronto Raptors"	185	336	0.5505952380952381	12	46	0.2608695652173913	58	81	0.7160493827160493	98	176	274	45	26	48	66	144	440	93
"Anderson Varejao"	"Cleveland Cavaliers"	152	308	0.4935064935064935	0	5	0.0	64	90	0.7111111111111111	132	309	441	107	47	35	48	110	368	-19
"Andray Blatche"	"New Jersey Nets"	167	353	0.4730878186968839	8	27	0.2962962962962963	85	115	0.7391304347826086	70	150	220	54	34	16	59	82	427	-29
"Andre Drummond"	"Detroit Pistons"	232	384	0.6041666666666666	0	1	0.0	66	165	0.4	213	317	530	16	58	77	59	137	530	-170
"Andre Iguodala"	"Golden State Warriors"	111	221	0.502262443438914	42	98	0.4285714285714285	40	67	0.5970149253731343	19	108	127	148	52	11	60	52	304	323
"Andre Miller"	"Denver Nuggets"	66	144	0.4583333333333333	9	18	0.5	35	47	0.7446808510638298	16	57	73	100	15	7	33	32	176	10
"Andre Roberson"	"Oklahoma City Thunder"	12	22	0.5454545454545454	1	5	0.2	4	6	0.6666666666666666	15	21	36	7	7	3	7	22	29	19
"Andrea Bargnani"	"New York Knicks"	222	502	0.4422310756972112	30	108	0.2777777777777778	84	102	0.8235294117647058	69	153	222	45	14	51	58	100	558	-122
"Andrei Kirilenko"	"New Jersey Nets"	24	51	0.4705882352941176	0	0	0.0	30	47	0.6382978723404256	22	22	44	19	8	3	17	25	78	-6
"Andrew Bogut"	"Golden State Warriors"	161	253	0.6363636363636364	0	0	0.0	18	52	0.3461538461538461	115	319	434	66	31	74	72	121	340	194
"Andrew Bynum"	"Cleveland Cavaliers"	85	203	0.4187192118226601	0	0	0.0	32	42	0.7619047619047619	47	79	126	27	6	28	30	28	202	-127
"Andrew Nicholson"	"Orlando Magic"	119	266	0.4473684210526316	21	69	0.3043478260869565	36	45	0.8	36	139	175	9	10	17	34	80	295	-17
"Andris Biedrins"	"Utah Jazz"	1	1	1.0	0	0	0.0	1	6	0.1666666666666667	2	15	17	0	0	0	2	6	3	2
"Antawn Jamison"	"Los Angeles Clippers"	25	87	0.2873563218390804	8	40	0.2	18	25	0.72	9	42	51	6	9	3	7	28	76	56
"Anthony Bennett"	"Cleveland Cavaliers"	29	108	0.2685185185185185	4	28	0.1428571428571428	13	22	0.5909090909090909	21	48	69	7	12	4	26	48	75	-76
"Anthony Davis"	"New Orleans Hornets"	260	498	0.5220883534136547	1	3	0.3333333333333333	166	220	0.7545454545454545	130	220	350	43	52	102	60	110	687	-39
"Anthony Morrow"	"New Orleans Hornets"	75	166	0.4518072289156627	32	73	0.4383561643835616	17	21	0.8095238095238095	7	38	45	20	17	5	17	37	199	-36
"Anthony Randolph"	"Denver Nuggets"	32	74	0.4324324324324325	6	17	0.3529411764705883	33	39	0.8461538461538461	10	48	58	8	12	13	21	31	103	-54
"Anthony Tolliver"	"Charlotte Bobcats"	64	146	0.4383561643835616	52	112	0.4642857142857143	12	16	0.75	18	80	98	26	8	8	17	54	192	-24
"Archie Goodwin"	"Phoenix Suns"	44	115	0.3826086956521739	3	28	0.1071428571428571	18	27	0.6666666666666666	14	46	60	14	13	8	32	26	109	-75
"Arinze Onuaku"	"New Orleans Hornets"	1	4	0.25	0	0	0.0	1	2	0.5	2	5	7	3	0	0	1	3	3	-6
"Aron Baynes"	"San Antonio Spurs"	34	74	0.4594594594594595	0	0	0.0	7	8	0.875	22	41	63	13	0	1	17	29	75	-10
"Arron Afflalo"	"Orlando Magic"	275	592	0.464527027027027	77	182	0.4230769230769231	162	193	0.8393782383419689	19	156	175	148	23	1	86	67	789	-201
"Austin Daye"	"Toronto Raptors"	3	11	0.2727272727272727	0	6	0.0	2	3	0.6666666666666666	2	5	7	2	0	0	0	4	8	-14
"Austin Rivers"	"New Orleans Hornets"	55	141	0.3900709219858156	12	30	0.4	29	50	0.58	11	22	33	41	13	2	18	42	151	3
"Avery Bradley"	"Boston Celtics"	260	592	0.4391891891891892	46	127	0.3622047244094488	58	78	0.7435897435897436	40	137	177	60	44	10	70	114	624	-127
"Ben Gordon"	"Charlotte Bobcats"	35	98	0.3571428571428572	7	26	0.2692307692307692	15	19	0.7894736842105263	1	24	25	18	9	2	20	17	92	6
"Ben McLemore"	"Sacramento Kings"	112	310	0.3612903225806451	49	141	0.3475177304964539	42	52	0.8076923076923077	24	87	111	37	18	8	41	99	315	-90
"Beno Udrih"	"New York Knicks"	67	157	0.4267515923566879	16	39	0.4102564102564102	20	24	0.8333333333333334	10	47	57	108	22	3	42	45	170	-91
"Bernard James"	"Dallas Mavericks"	9	19	0.4736842105263158	0	1	0.0	6	8	0.75	11	20	31	1	2	5	5	13	24	0
"Bismack Biyombo"	"Charlotte Bobcats"	50	79	0.6329113924050633	0	0	0.0	34	62	0.5483870967741935	48	157	205	4	3	41	25	63	134	-85
"Blake Griffin"	"Los Angeles Clippers"	368	702	0.5242165242165242	8	27	0.2962962962962963	251	351	0.7150997150997151	99	340	439	153	51	28	126	151	995	227
"Boris Diaw"	"San Antonio Spurs"	154	275	0.5600000000000001	15	45	0.3333333333333333	37	49	0.7551020408163265	29	107	136	98	22	16	53	63	360	190
"Bradley Beal"	"Washington Wizards"	210	512	0.41015625	68	158	0.4303797468354431	55	68	0.8088235294117647	23	96	119	97	27	8	63	72	543	7
"Brandan Wright"	"Dallas Mavericks"	83	125	0.664	0	0	0.0	28	40	0.7	36	48	84	13	13	16	15	42	194	40
"Brandon Bass"	"Boston Celtics"	178	388	0.4587628865979381	2	3	0.6666666666666666	115	136	0.8455882352941176	75	184	259	55	22	46	55	114	473	-205
"Brandon Davies"	"Philadelphia 76ers"	34	89	0.3820224719101123	0	3	0.0	23	33	0.696969696969697	27	46	73	22	19	6	27	70	91	-61
"Brandon Jennings"	"Detroit Pistons"	226	605	0.3735537190082645	72	214	0.3364485981308411	130	166	0.7831325301204819	34	95	129	329	62	4	125	82	654	-83
"Brandon Knight"	"Milwaukee Bucks"	188	456	0.412280701754386	48	143	0.3356643356643357	102	125	0.8159999999999999	22	105	127	149	33	4	92	61	526	-172
"Brandon Rush"	"Utah Jazz"	19	49	0.3877551020408163	9	22	0.4090909090909091	2	2	1.0	3	23	26	19	3	6	15	19	49	-48
"Brian Roberts"	"New Orleans Hornets"	86	205	0.4195121951219512	27	70	0.3857142857142857	42	46	0.9130434782608695	6	53	59	94	15	2	29	61	241	-41
"Brook Lopez"	"New Jersey Nets"	129	229	0.5633187772925764	0	1	0.0	94	115	0.8173913043478261	39	63	102	16	9	30	28	52	352	-20
"Byron Mullens"	"Los Angeles Clippers"	24	58	0.4137931034482759	12	35	0.3428571428571429	2	6	0.3333333333333333	6	23	29	6	6	3	11	30	62	-43
"CJ McCollum"	"Portland Trail Blazers"	19	42	0.4523809523809524	7	17	0.4117647058823529	3	4	0.75	2	7	9	3	1	1	3	12	48	-17
"CJ Miles"	"Cleveland Cavaliers"	138	319	0.4326018808777429	63	157	0.4012738853503185	47	56	0.8392857142857143	17	68	85	41	36	13	35	80	386	39
"CJ Watson"	"Indiana Pacers"	92	212	0.4339622641509434	34	93	0.3655913978494624	44	53	0.8301886792452831	13	55	68	74	37	4	36	41	262	118
"Carl Landry"	"Sacramento Kings"	5	12	0.4166666666666667	0	0	0.0	2	3	0.6666666666666666	4	6	10	0	0	0	2	3	12	1
"Carlos Boozer"	"Chicago Bulls"	237	517	0.4584139264990329	0	0	0.0	92	120	0.7666666666666667	75	249	324	60	27	14	90	108	566	-11
"Carmelo Anthony"	"New York Knicks"	358	818	0.4376528117359413	70	170	0.4117647058823529	232	274	0.8467153284671532	93	257	350	121	46	27	91	113	1018	-18
"Caron Butler"	"Milwaukee Bucks"	100	266	0.3759398496240601	35	109	0.3211009174311927	36	43	0.8372093023255814	12	109	121	48	18	7	40	51	271	-168
"Carrick Felix"	"Cleveland Cavaliers"	3	8	0.375	0	2	0.0	3	4	0.75	1	3	4	1	0	0	3	2	9	-8
